COUNTRY,YEAR,env,gen,loc,SEASON,check,PL_EMERG_C,PL_EMERG_P,FLW_DAYS,FLW_CL,PUB_CL,NDM,LOD,PODDING_MA,Pod_Shatte,PH_R8,W100G,GY,R6_BB_Sev,R6_BP_Sev,R6_BS_Sev,R6_BTS_Sev,R6_CLB_Sev,R6_DM_Sev,R6_MLS_Sev,R6_FELS_Se,R6_RLB_Sev,R6_RUST_Se,R6_RUST_RR,R6_Others_,PROT,OIL,SOWING,HARVEST,LAT,LON,ELEV,RAINFED,SOURCE,COMPANY
Kenya,2015,E002,G008,L002,2,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G009,L002,2,0,0,0,0,NA,NA,124,0,0,0,62,0,966.6666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G010,L002,2,0,0,0,0,NA,NA,146,0,0,0,88,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G011,L002,2,0,0,0,0,NA,NA,137,0,0,0,61,0,2266.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G012,L002,2,0,0,0,0,NA,NA,133,0,0,0,71,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G013,L002,2,0,0,0,0,NA,NA,146,0,0,0,71,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G014,L002,2,0,0,0,0,NA,NA,137,0,0,0,89,0,2166.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G015,L002,2,0,0,0,0,NA,NA,134,0,0,0,92,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G018,L002,2,0,0,0,0,NA,NA,133,0,0,0,39,0,600,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Ethiopian Institute of Agricultural Research EIAR,Public
Kenya,2015,E002,G019,L002,2,0,0,0,0,NA,NA,129,0,0,0,75,0,2533.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E002,G070,L002,2,0,0,0,0,NA,NA,146,0,0,0,78,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,MRISyngenta Synergy Agribusiness Zambia Limited,Private
Kenya,2015,E002,G136,L002,2,0,0,0,0,NA,NA,123,0,0,0,67,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,Ethiopian Institute of Agricultural Research EIAR,Public
Kenya,2015,E002,G138,L002,2,1,0,0,0,NA,NA,124,0,0,0,65,0,1766.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,SeedCo,Private
Kenya,2015,E002,G164,L002,2,0,0,0,0,NA,NA,125,0,0,0,74,0,1233.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G165,L002,2,0,0,0,0,NA,NA,126,0,0,0,69,0,2533.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G166,L002,2,0,0,0,0,NA,NA,137,0,0,0,85,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G168,L002,2,0,0,0,0,NA,NA,129,0,0,0,79,0,1833.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G177,L002,2,0,0,0,0,NA,NA,123,0,0,0,71,0,3066.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G178,L002,2,0,0,0,0,NA,NA,138,0,0,0,80,0,1433.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G180,L002,2,0,0,0,0,NA,NA,124,0,0,0,82,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G182,L002,2,0,0,0,0,NA,NA,126,0,0,0,84,0,2566.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G184,L002,2,0,0,0,0,NA,NA,137,0,0,0,76,0,2166.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E002,G187,L002,2,0,0,0,0,NA,NA,129,0,0,0,82,0,2966.666667,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/29/2015,4/21/2016,-1.517,36.85,1600,Rainfed,International Institute of Tropical Agriculture IITA,Public
Kenya,2015,E003,G008,L003,2,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/23/2015,4/24/2016,-1.367,36.633,1960,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E003,G009,L003,2,0,0,0,0,NA,NA,121,0,0,0,77,0,2033.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/23/2015,4/24/2016,-1.367,36.633,1960,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
Kenya,2015,E003,G010,L003,2,0,0,0,0,NA,NA,132,0,0,0,94,0,2133.333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,11/23/2015,4/24/2016,-1.367,36.633,1960,Rainfed,Empresa Brasileira de Pesquisa Agropecuaria EMBRAPA,Public
